#x_outof_circle[deg],y_outof_circle[deg]
3.143124e-01,-1.239957e+00
-1.623979e+00,-5.805498e-01
-1.669652e+00,-6.163628e-01
-1.129789e+00,-1.069587e+00
-1.061794e+00,-1.618192e+00
1.168467e+00,1.228879e+00
1.277669e+00,1.227141e+00
-4.538707e-01,-1.878546e+00
-3.948754e-01,-1.896546e+00
1.963811e-03,-1.288936e+00
2.804553e-01,-1.064112e+00
4.608547e-01,-1.253597e+00
1.278939e+00,-1.243469e+00
5.088299e-01,-1.193993e+00
3.873115e-01,-1.245824e+00
1.296818e+00,1.356679e+00
1.409024e+00,1.134924e+00
-6.289532e-01,-1.717832e+00
1.092667e-01,-1.270545e+00
1.626646e-01,-1.358852e+00
-5.020635e-02,-1.364098e+00
5.645416e-01,-1.220754e+00
-1.770894e+00,-6.787708e-01
-1.304118e+00,-8.849543e-01
9.551659e-01,-1.666654e+00
9.091323e-01,-1.729574e+00
5.409725e-01,-1.305246e+00
5.069960e-01,-1.377770e+00
6.122213e-01,-1.366302e+00
-1.833553e+00,-5.468392e-01
-1.795483e+00,-5.475269e-01
3.963912e-01,-1.099219e+00
4.628299e-01,-1.366956e+00
-1.647429e+00,-5.063331e-01
-1.653728e+00,-5.027000e-01
-1.606247e+00,-6.086621e-01
-1.493173e+00,-8.070577e-01
9.754090e-01,-1.048266e+00
9.310185e-01,-1.082597e+00
-1.758662e+00,-4.403890e-01
1.218444e+00,9.677971e-01
1.182869e+00,8.401050e-01
3.091122e-01,-1.201662e+00
5.070623e-01,-1.346333e+00
8.179487e-01,-1.443618e+00
5.737485e-01,-1.306995e+00
-1.462755e+00,-9.616517e-01
-1.539751e+00,-8.624781e-01
-1.058570e+00,-1.550654e+00
9.445508e-01,-8.735566e-01
4.232215e-01,-1.312281e+00
4.064585e-01,-1.397556e+00
3.971823e-01,-1.363339e+00
1.143644e+00,-1.565651e+00
9.561536e-01,-9.611197e-01
1.060810e+00,-1.391618e+00
9.085697e-01,-1.518884e+00
1.068266e+00,-8.778845e-01
8.875152e-01,-1.002682e+00
-1.422381e+00,-1.115945e+00
-8.529313e-01,-1.789372e+00
-1.579143e+00,-9.409598e-01
-1.268943e+00,-1.051110e+00
-1.787847e+00,-6.280092e-01
-1.420549e+00,-9.445579e-01
-1.351955e+00,-1.049602e+00
-1.054163e+00,-1.542214e+00
-1.331862e+00,-9.491282e-01
-1.274805e+00,-1.014036e+00
-9.612964e-01,-1.636243e+00
-6.904604e-01,-1.870408e+00
3.061876e-01,-1.174676e+00
1.901818e-01,-1.107190e+00
4.036346e-01,-1.232330e+00
4.512188e-01,-1.015877e+00
3.790703e-01,-1.046695e+00
3.630250e-01,-1.031974e+00
1.936923e-01,-1.221319e+00
-1.628601e+00,-5.315658e-01
-1.604913e+00,-6.181967e-01
-1.407316e+00,-8.651121e-01
-7.977351e-01,-1.675642e+00
-1.220659e+00,-9.786004e-01
-1.555375e+00,-7.309938e-01
-1.333422e+00,-8.754644e-01
5.112028e-01,-1.380046e+00
4.188909e-01,-1.355625e+00
1.298982e+00,1.008623e+00
-1.417654e+00,-6.838084e-01
-1.262631e+00,-8.593641e-01
-1.247851e+00,-1.021138e+00
1.255182e+00,1.360153e+00
1.058943e+00,1.297207e+00
1.200641e+00,1.495475e+00
1.462822e+00,1.003494e+00
1.173739e+00,1.012816e+00
1.289437e+00,1.268465e+00
1.206274e+00,8.752994e-01
1.061742e+00,1.228606e+00
1.252019e+00,9.957575e-01
