#x_cut[deg],y_cut[deg]
-7.412003e-01,2.648667e-01
-1.042413e+00,1.320273e-01
-8.255405e-01,1.059843e-01
-1.095317e+00,2.198144e-01
-9.149179e-01,2.513573e-01
-7.255931e-01,2.072183e-01
-6.443124e-01,1.426371e-01
-1.008071e+00,1.328404e-01
-1.005396e+00,9.983321e-02
1.631535e-01,-2.780187e-01
2.396812e-01,-3.584394e-01
3.773987e-01,-3.658530e-01
3.103362e-01,-5.304852e-01
1.009985e+00,3.024823e-01
7.413266e-01,9.646031e-02
9.479753e-01,1.426697e-01
8.762524e-01,-6.346468e-02
1.064731e+00,-3.122401e-01
1.794142e-03,-1.208873e-02
1.412206e-01,8.107039e-03
-8.158721e-02,-4.131107e-02
4.585447e-02,-7.467262e-02
6.845450e-01,3.926805e-01
1.071853e+00,2.116822e-01
9.909487e-01,1.427519e-01
1.096925e+00,-2.224301e-02
1.059028e+00,-2.016995e-01
1.310970e+00,-3.055835e-01
7.130039e-01,2.795221e-01
1.007327e+00,9.723643e-02
8.498255e-01,2.994825e-02
1.058201e+00,-3.102950e-01
1.259029e+00,-2.825575e-01
6.456997e-01,3.586896e-01
6.170534e-01,3.539386e-01
1.036774e+00,2.651524e-01
2.119204e-01,-8.192550e-02
1.392959e-01,-9.860032e-02
1.437372e-01,-1.100729e-01
9.709710e-01,9.944507e-02
1.135801e+00,6.425434e-02
1.080511e+00,-2.410138e-01
1.181207e+00,-4.110206e-01
1.065109e+00,-4.456910e-01
9.366672e-01,2.377331e-01
8.966033e-01,2.121060e-03
1.018642e+00,-1.675992e-03
1.253720e+00,-2.971034e-01
1.053662e+00,-3.953162e-01
1.622367e-01,-6.259033e-02
1.319515e-01,-1.030130e-01
2.807699e-01,-9.399606e-02
2.475148e-01,5.113683e-02
-5.320490e-02,-3.156294e-02
2.871729e-03,-2.314019e-02
5.842414e-01,3.810763e-01
7.091239e-01,1.553787e-01
6.756657e-01,2.417261e-01
8.447805e-01,4.769720e-02
1.094424e+00,-2.415787e-01
1.860424e-01,-1.742769e-02
1.051552e-01,-5.731183e-02
1.010162e+00,2.578408e-01
1.177032e+00,-2.976980e-02
1.015274e+00,-1.777406e-01
1.159480e+00,-4.007503e-01
1.150992e-01,-2.980172e-02
4.887153e-02,-9.509431e-02
7.724963e-01,9.831368e-02
1.121902e+00,-6.745594e-02
1.008577e+00,-1.775587e-01
2.737718e-01,-3.854857e-02
1.133434e-01,1.734347e-02
8.140491e-01,1.395961e-01
8.605021e-01,-7.774375e-03
9.431412e-01,-1.922268e-01
1.296914e+00,-2.059280e-01
1.310502e+00,-3.707984e-01
-9.305761e-01,4.527190e-01
-8.609741e-01,2.349975e-01
-9.002967e-01,2.192114e-01
-7.751109e-01,7.735126e-02
-5.646646e-01,-1.508619e-02
-6.213997e-01,-6.354776e-02
-7.989735e-01,-1.203948e-02
-1.530134e-03,-8.849769e-02
1.691240e-02,-1.027385e-01
7.902973e-01,2.855413e-01
8.132142e-01,2.650735e-01
9.332812e-01,1.888616e-02
7.893924e-01,-7.672184e-05
9.923483e-01,-3.282570e-01
1.526417e-02,-1.057824e-02
1.271427e-01,-3.535873e-02
2.155235e-01,-5.346164e-02
2.844081e-01,-5.952015e-02
2.265980e-01,-8.296213e-02
9.526941e-01,3.210812e-01
7.949388e-01,3.496111e-01
9.099742e-01,3.073832e-01
7.648412e-01,1.381837e-01
1.083421e+00,1.203469e-01
1.037298e+00,4.609138e-02
9.882331e-01,1.080475e-01
1.159523e+00,-2.101479e-01
1.490838e-01,-2.522378e-02
1.748394e-01,-1.154805e-01
1.727825e-01,3.593539e-02
2.543712e-01,-1.229066e-02
1.053018e+00,4.709688e-02
1.217063e+00,-2.795440e-01
-9.896854e-01,5.581609e-01
-1.170731e+00,3.778073e-01
-1.026413e+00,3.643355e-01
-1.151794e+00,3.008510e-01
-1.007191e+00,1.576467e-01
-9.513695e-01,1.567292e-01
-5.052354e-01,-7.334560e-02
2.422808e-01,-2.813426e-01
-5.295732e-01,-5.685979e-01
-4.224129e-01,-5.842969e-01
-1.881171e-01,-7.197447e-01
-1.019747e-01,-8.404179e-01
-8.402632e-02,-9.072440e-01
-3.264713e-01,-5.301767e-01
-3.744821e-01,-5.748607e-01
-2.948560e-01,-8.634425e-01
-3.136700e-01,-9.795429e-01
1.132349e+00,-4.064303e-01
-3.427071e-01,-8.241165e-01
-2.289394e-01,-7.936506e-01
2.061206e-01,-5.125712e-01
-3.410261e-01,-5.512168e-01
-1.942766e-01,-6.738523e-01
-8.972890e-01,1.303745e-01
-8.260419e-01,-1.077575e-01
9.199045e-01,-2.661534e-01
-1.266222e-01,-9.863259e-01
-4.347279e-01,-5.578475e-01
-4.032190e-01,-6.701906e-01
-2.980990e-01,-7.747147e-01
1.303072e+00,-3.332275e-01
-3.252085e-01,-5.837725e-01
-2.092911e-01,-8.163933e-01
1.168779e+00,-2.899561e-01
-3.975062e-01,-6.098572e-01
-3.636227e-01,-6.497360e-01
-1.356302e-01,-7.512203e-01
-2.281857e-01,-5.907936e-01
-4.058714e-01,-7.019499e-01
-3.347996e-01,-7.226030e-01
3.391039e-01,-2.861728e-01
1.819648e-01,-3.954648e-01
2.983252e-01,-3.049897e-01
3.646987e-01,-3.669755e-01
5.153630e-01,-4.269639e-01
-3.029499e-01,-7.236305e-01
-1.187747e-01,-8.577648e-01
-4.997372e-01,-5.523450e-01
-4.118574e-01,-6.115209e-01
-4.446563e-01,-5.424566e-01
-2.267876e-01,-7.311492e-01
-3.170609e-01,-8.304269e-01
-1.002390e-01,-9.271771e-01
1.100952e+00,-3.959925e-01
-3.044940e-01,-7.625034e-01
1.222827e+00,-1.457914e-01
-4.655029e-01,-5.551564e-01
-2.916640e-01,-7.043581e-01
-1.487409e-01,-7.177517e-01
-3.475875e-01,-7.006599e-01
-9.482271e-02,-9.427178e-01
-1.752488e-01,-9.669442e-01
-5.252101e-01,-5.600867e-01
-5.134255e-01,-6.940269e-01
-5.015880e-01,-5.522513e-01
